Date,Ticker,score,actual_alpha,Period,momentum
2020-04-30,BPCL.NS,0.2705329450678403,-0.0887054172907734,Train,0.2705329450678403
2020-04-30,GAIL.NS,0.2693898096896974,0.0,Train,0.26938980968969745
2020-04-30,AXISBANK.NS,0.2647946384757743,-0.0141271534784462,Train,0.2647946384757743
2020-04-30,BSE.NS,0.2629531125880286,0.0,Train,0.2629531125880286
2020-04-30,TATAELXSI.NS,0.2575616129735951,-0.0095232825139173,Train,0.2575616129735951
2020-04-30,IDEA.NS,0.2564294835346128,0.4191223274959168,Train,0.2564294835346128
2020-04-30,TORNTPHARM.NS,0.2561776771425687,-0.0227275153813645,Train,0.2561776771425687
2020-04-30,OIL.NS,0.2551537411514255,-0.1331629670049411,Train,0.25515374115142553
2020-04-30,HUDCO.NS,0.2547014305906934,-0.0320669987585971,Train,0.2547014305906934
2020-04-30,BDL.NS,0.2544897239776632,0.0820655280320355,Train,0.2544897239776632
2020-04-30,M&M.NS,0.2501655320831252,0.1599733258775629,Train,0.25016553208312525
2020-04-30,ZYDUSLIFE.NS,0.232096935917382,0.053090882512191,Train,0.23209693591738206
2020-04-30,TATACONSUM.NS,0.2311033258276213,0.0,Train,0.23110332582762136
2020-04-30,NAUKRI.NS,0.227953648252949,0.0213400107770012,Train,0.22795364825294906
2020-04-30,HINDZINC.NS,0.2262268583628511,0.0080440519736331,Train,0.22622685836285117
2020-04-30,GVT&D.NS,0.2259317992927399,-0.2818375743388114,Train,0.22593179929273993
2020-04-30,BIOCON.NS,0.2254771883764494,0.0451662359120343,Train,0.22547718837644942
2020-04-30,BAJAJ-AUTO.NS,0.2192391246515047,0.063792533009754,Train,0.2192391246515047
2020-04-30,COLPAL.NS,0.2177014456718276,-0.0979855687452672,Train,0.2177014456718276
2020-04-30,HINDPETRO.NS,0.2171472169501666,-0.1372643453152344,Train,0.21714721695016667
2020-04-30,EXIDEIND.NS,0.2152258350855575,0.0087554946808566,Train,0.2152258350855575
2020-04-30,LICHSGFIN.NS,0.2143562147138628,-0.1103747331598882,Train,0.2143562147138628
2020-04-30,DIVISLAB.NS,0.2140864990365571,0.0,Train,0.21408649903655716
2020-04-30,BRITANNIA.NS,0.2123495561876546,0.0421808412552328,Train,0.21234955618765464
2020-04-30,ONGC.NS,0.2102419887516506,0.0447632165010306,Train,0.21024198875165062
2020-04-30,LTF.NS,0.2020266731129626,-0.0801062850420508,Train,0.20202667311296263
2020-04-30,ASHOKLEY.NS,0.2002464535429449,-0.1660427374548971,Train,0.20024645354294496
2020-04-30,CONCOR.NS,0.1991081141958813,-0.0088761056646211,Train,0.19910811419588137
2020-04-30,SUPREMEIND.NS,0.1949818487000313,-0.0479083273607678,Train,0.19498184870003132
2020-04-30,HCLTECH.NS,0.1939984989612373,0.0,Train,0.19399849896123736
2020-04-30,JSWSTEEL.NS,0.1872603616195152,-0.0118987410932069,Train,0.18726036161951526
2020-04-30,COALINDIA.NS,0.1863703242183828,-0.0526743464618923,Train,0.18637032421838287
2020-04-30,PIDILITIND.NS,0.1859428652602548,-0.0036230862505933,Train,0.18594286526025486
2020-04-30,TIINDIA.NS,0.1851925334440406,-0.003681112828262,Train,0.18519253344404066
2020-04-30,HEROMOTOCO.NS,0.1843636914146421,-0.0054148291946746,Train,0.1843636914146421
2020-04-30,NESTLEIND.NS,0.1834976755528662,-0.0962071008427712,Train,0.18349767555286625
2020-04-30,SHRIRAMFIN.NS,0.1814512828559145,-0.2872554011236877,Train,0.18145128285591455
2020-04-30,JUBLFOOD.NS,0.1803961509763481,0.0263645741624074,Train,0.18039615097634812
2020-04-30,DMART.NS,0.1784651144375542,-0.0301622452266307,Train,0.1784651144375542
2020-04-30,KEI.NS,0.1783363425264042,0.0575216689147408,Train,0.1783363425264042
2020-04-30,NTPC.NS,0.1767611072330234,0.0,Train,0.17676110723302343
2020-04-30,AMBUJACEM.NS,0.1752970439426701,0.0175777193733319,Train,0.17529704394267015
